time,Classification,Closed PnL,Size USD,Account,sentiment_numeric,rolling_corr,volatility,day_of_week
2024-02-19,Extreme Greed,4317.768563,286377.2,2,4,0.5786095768506905,1640.692580013997,0
2024-02-20,Greed,3263.628824,119419.72,2,3,0.5725570318897814,1689.1807696380881,1
2024-02-21,Extreme Greed,1858.7985700000002,108047.52,2,4,0.5758178744208574,1633.9036488303013,2
2024-02-22,Greed,3894.10507,373033.87,2,3,0.5549667402908495,1700.5449174163268,3
2024-02-23,Extreme Greed,1418.55293,111106.14,1,4,0.49966579959084534,1684.7842289942605,4
2024-02-24,Neutral,0.0,0.0,0,2,0.4447271627881054,1694.0236148821828,5
2024-02-25,Greed,-30.7705,4480.13,1,3,0.43432872464388983,1697.4770391182233,6
2024-02-26,Greed,4416.8473,192187.13999999998,2,3,0.3942401246956933,1772.5236518488161,0
2024-02-27,Extreme Greed,888.511733,209362.30000000002,2,4,0.2744181633668337,1728.2950240589869,1
2024-02-28,Extreme Greed,2503.747235,171107.13,1,4,0.29757526455715255,1698.8212199849281,2
2024-02-29,Extreme Greed,9813.996992,395666.73,2,4,0.3890172859747372,2404.9260337405317,3
2024-03-01,Extreme Greed,8244.241409,472974.7,1,4,0.4473429220717587,2668.5577103623773,4
2024-03-02,Extreme Greed,230.90059999999988,63197.56,2,4,0.3984292495743906,2657.345964076726,5
2024-03-03,Extreme Greed,8361.086245,390745.68,1,4,0.4401078173134489,2895.1298354001487,6
2024-03-04,Extreme Greed,27799.775742,1577996.8699999999,2,4,0.39016882190124824,6085.860253713015,0
2024-03-05,Extreme Greed,19791.026041,841810.32,1,4,0.4223608765438126,6883.445395907988,1
2024-03-06,Extreme Greed,6814.825139,327218.02,1,4,0.4231282994509965,6883.385732578921,2
2024-03-07,Neutral,0.0,0.0,0,2,0.42932791105498735,6942.398299568571,3
2024-03-08,Extreme Greed,4271.886236,183583.18,1,4,0.4182426634695884,6945.894043998607,4
2024-03-09,Extreme Greed,9949.501624,658178.75,1,4,0.4277936274381498,6974.576258555681,5
2024-03-10,Extreme Greed,2482.9272,219973.85,1,4,0.39488190103245513,6913.932253679558,6
2024-03-11,Extreme Greed,3588.1794950000003,176519.44999999998,1,4,0.36473811324708927,6923.200664739351,0
2024-03-12,Extreme Greed,3039.166,103040.84999999999,1,4,0.34271595871625304,6927.311627504931,1
2024-03-13,Extreme Greed,0.0,6000.799999999999,1,4,0.30552153105120583,6990.20515380919,2
2024-03-14,Extreme Greed,3465.865832,205933.18,2,4,0.3186171931109542,6996.035038164385,3
2024-03-15,Extreme Greed,6236.513651,351894.41,3,4,0.32104170096336604,6931.6580016636635,4
2024-03-16,Extreme Greed,228.57984,37223.66,2,4,0.2898972325275774,6922.262644233294,5
2024-03-17,Extreme Greed,503.293955,99506.95,3,4,0.2847071564369938,6900.662772023105,6
2024-03-18,Extreme Greed,1456.9577,90458.08,3,4,0.282988144460325,6961.138086114252,0
2024-03-19,Extreme Greed,668.797973,219884.84,3,4,0.2493500069208475,6968.889931734063,1
2024-03-20,Greed,6423.134599,215705.85,2,3,0.2328673727654266,6931.726949267383,2
2024-03-21,Extreme Greed,2335.508075,117895.57,3,4,0.22102708634011553,6911.305063448579,3
2024-03-22,Neutral,0.0,0.0,0,2,0.26826811084962005,6982.525548483433,4
2024-03-23,Neutral,0.0,0.0,0,2,0.2994793791890981,6990.796242587564,5
2024-03-24,Greed,1297.0184769999998,92592.20999999999,1,3,0.32128698332192884,6996.748069844055,6
2024-03-25,Extreme Greed,1302.916428,57116.32,1,4,0.28123712004237195,4624.764394075413,0
2024-03-26,Extreme Greed,3215.906593,198565.19,2,4,0.25683821331029905,2737.9885402902682,1
2024-03-27,Extreme Greed,150.41114,99864.79000000001,2,4,0.247233262432111,2624.4429987060576,2
2024-03-28,Extreme Greed,227.85100799999998,35323.72,2,4,0.24511773693667047,2614.431875579062,3
2024-03-29,Extreme Greed,883.097404,86914.37,1,4,0.24038328127746889,2599.0257377919456,4
2024-03-30,Extreme Greed,1100.57514,101103.92,1,4,0.22225792267738817,1918.0993591436566,5
2024-03-31,Extreme Greed,912.786145,39912.96,1,4,0.20590571330231977,1922.3175645936683,6
2024-04-01,Extreme Greed,2507.963406,339470.47,2,4,0.2123860906000086,1885.147428590216,0
2024-04-02,Extreme Greed,883.760812,239664.51,2,4,0.1958159731652037,1867.8850538471443,1
2024-04-03,Greed,126.7884,16887.57,2,3,0.22688017780418276,1862.619822588122,2
2024-04-04,Greed,0.0,95987.73,1,3,0.28350284551386845,1843.9327916415066,3
2024-04-05,Extreme Greed,10706.484306,503791.8,3,4,0.27413427144552355,2547.7150879360665,4
2024-04-06,Extreme Greed,236.33513399999998,68223.67,1,4,0.2173686763716785,2547.4972565589774,5
2024-04-07,Extreme Greed,0.0,49988.14,1,4,0.19318335550238286,2561.290975710822,6
2024-04-08,Extreme Greed,1218.4267,211940.64,2,4,0.1692731472835452,2562.671020706416,0
2024-04-09,Extreme Greed,0.0,57063.840000000004,1,4,0.15171486426734293,2579.2953775665987,1
2024-04-10,Extreme Greed,5207.443414,351735.97,1,4,0.15836485513778856,2477.172909845985,2
2024-04-11,Extreme Greed,389.743164,76400.96,1,4,0.14141047392728862,2482.264405212267,3
2024-04-12,Extreme Greed,-592.645839,442088.59,3,4,0.1367368922371081,2502.8109427843788,4
2024-04-13,Greed,6621.451755,486411.25,2,3,0.039627990639981965,2722.68824748018,5
2024-04-14,Greed,-36104.01252,659162.17,2,3,0.19851450148148878,8698.01866520442,6
2024-04-15,Greed,3774.08872,291111.19,2,3,0.17926988588261278,8733.849075738293,0
2024-04-16,Greed,2467.702221,181907.17,2,3,0.1683980381944757,8721.891225471298,1
2024-04-17,Greed,2441.4683999999997,97562.99,1,3,0.15630534016615988,8737.73198946485,2
2024-04-18,Neutral,0.0,0.0,0,2,0.149524150226511,8737.76321602282,3
2024-04-19,Greed,1946.445462,337257.92000000004,1,3,0.16660669076281917,8745.408465079665,4
2024-04-20,Greed,0.0,60733.24,2,3,0.16142691355011085,8742.932686299555,5
2024-04-21,Neutral,0.0,0.0,0,2,0.16142691355011085,8741.118769472123,6
2024-04-22,Greed,0.0,47993.61,1,3,0.1719507084593552,8723.506162275822,0
2024-04-23,Greed,1119.536196,233054.9,2,3,0.17263417992153743,8724.895607855758,1
2024-04-24,Greed,279.185907,141275.24,1,3,0.16942184164593108,8725.0880450179,2
2024-04-25,Greed,0.0,120241.01,2,3,0.15928532800611633,8725.0880450179,3
2024-04-26,Greed,0.0,4988.290000000001,1,3,0.16143053545866015,8373.057654519069,4
2024-04-27,Greed,4281.488139,154264.47,1,3,0.15075864415294588,8437.694475366096,5
2024-04-28,Greed,0.0,43985.6,2,3,0.1509912266207643,8437.694475366096,6
2024-04-29,Greed,526.933836,108699.01,2,3,0.14884295140515338,8432.693537557563,0
2024-04-30,Greed,0.0,125018.75,1,3,0.1490881122892534,8432.693537557563,1
2024-05-01,Neutral,0.0,87025.45,1,2,0.1313400940711458,8336.690036417118,2
2024-05-02,Neutral,0.0,0.0,0,2,0.12449608198624981,8334.782427396618,3
2024-05-03,Neutral,5306.017045,282682.65,3,2,0.0771267673763586,8434.911655272716,4
2024-05-04,Greed,0.0,58998.75,2,3,0.0771267673763586,8283.703157611588,5
2024-05-05,Greed,0.916,24068.350000000002,2,3,0.009224197043965422,1655.6989563902955,6
2024-05-06,Greed,968.59038,206016.43,1,3,0.007296442299995347,1533.9981336581698,0
